,end traj
0,[2. 0.]
1,[2. 0.]
2,[2. 0.]
3,[1.99430327 0.10688344]
4,[1.97727798 0.21255249]
5,[1.94911811 0.31580659]
6,[1.91014449 0.4154727 ]
7,[1.86080116 0.51041865]
8,[1.8016503  0.59956607]
9,[1.73336583 0.68190263]
10,[1.65672574 0.75649361]
11,[1.57260321 0.82249253]
12,[1.48195667 0.87915083]
13,[1.38581888 0.92582633]
14,[1.28528516 0.96199062]
15,[1.18150092 0.98723504]
16,[1.0756486  1.00127534]
17,[0.96893421 1.00395491]
18,[0.86257355 0.99524661]
19,[0.75777844 0.97525301]
20,[0.65574281 0.94420529]
21,[0.55762919 0.90246055]
22,[0.46455539 0.85049778]
23,[0.37758183 0.78891237]
24,[0.2976994  0.71840937]
25,[0.22581822 0.63979541]
26,[0.16275723 0.55396954]
27,[0.10923488 0.46191297]
28,[0.06586096 0.36467791]
29,[0.0331296  0.26337557]
30,[0.01141371 0.15916349]
31,[0.00096068 0.05323237]
32,[ 0.00188957 -0.0532075 ]
33,[ 0.01418976 -0.15894006]
34,[ 0.03772109 -0.26275727]
35,[ 0.07221543 -0.36347294]
36,[ 0.11727974 -0.45993621]
37,[ 0.17240054 -0.55104466]
38,[ 0.2369498  -0.63575689]
39,[ 0.31019203 -0.71310438]
40,[ 0.39129274 -0.78220251]
41,[ 0.47932787 -0.84226063]
42,[ 0.57329437 -0.89259113]
43,[ 0.67212159 -0.93261719]
44,[ 0.77468354 -0.96187942]
45,[ 0.87981163 -0.98004104]
46,[ 0.98630806 -0.98689177]
47,[ 1.09295944 -0.98235018]
48,[ 1.1985506  -0.96646465]
49,[ 1.30187845 -0.93941279]
50,[ 1.40176571 -0.90149945]
51,[ 1.49707426 -0.85315322]
52,[ 1.58671817 -0.79492155]
53,[ 1.66967605 -0.72746454]
54,[ 1.74500267 -0.65154737]
55,[ 1.81183977 -0.56803162]
56,[ 1.86942579 -0.47786546]
57,[ 1.91710457 -0.3820728 ]
58,[ 1.95433284 -0.28174169]
59,[ 1.98068639 -0.17801186]
60,[ 1.9958649  -0.07206177]
61,[1.99969539 0.03490481]
62,[1.99969539 0.03490481]
63,[1.99213415 0.14167255]
64,[1.97326728 0.24702838]
65,[1.94330967 0.34977529]
66,[1.90260257 0.44874604]
67,[1.85160972 0.54281637]
68,[1.79091203 0.63091789]
69,[1.72120099 0.71205018]
70,[1.64327078 0.78529224]
71,[1.55800922 0.84981297]
72,[1.46638766 0.90488064]
73,[1.36944991 0.9498712 ]
74,[1.26830035 0.98427543]
75,[1.16409134 1.00770472]
76,[1.05801011 1.01989549]
77,[0.9512652  1.02071224]
78,[0.84507273 1.01014901]
79,[0.74064251 0.98832953]
80,[0.63916429 0.95550577]
81,[0.54179415 0.91205507]
82,[0.4496414  0.85847585]
83,[0.3637559  0.79538193]
84,[0.28511609 0.72349552]
85,[0.21461786 0.64363904]
86,[0.15306434 0.55672567]
87,[0.10115675 0.46374903]
88,[0.05948642 0.3657718 ]
89,[0.02852802 0.26391365]
90,[0.00863419 0.15933845]
91,[3.14993709e-05 5.32410336e-02]
92,[ 0.00281788 -0.05316642]
93,[ 0.01696149 -0.1586682 ]
94,[ 0.0423011  -0.26205892]
95,[ 0.07854791 -0.36215725]
96,[ 0.12528887 -0.45781934]
97,[ 0.18199134 -0.54795193]
98,[ 0.2480092  -0.63152472]
99,[ 0.32259018 -0.70758218]
100,[ 0.40488446 -0.77525437]
101,[ 0.49395434 -0.83376693]
102,[ 0.58878491 -0.88244982]
103,[ 0.68829564 -0.92074501]
104,[ 0.79135266 -0.94821283]
105,[ 0.8967817  -0.96453695]
106,[ 1.00338148 -0.96952801]
107,[ 1.10993735 -0.96312579]
108,[ 1.21523519 -0.94539986]
109,[ 1.31807518 -0.9165488 ]
110,[ 1.41728554 -0.87689796]
111,[ 1.51173582 -0.82689573]
112,[ 1.6003498  -0.76710843]
113,[ 1.68211776 -0.69821388]
114,[ 1.75610797 -0.62099364]
115,[ 1.82147734 -0.53632414]
116,[ 1.87748097 -0.4451667 ]
117,[ 1.92348067 -0.34855652]
118,[ 1.95895225 -0.24759097]
119,[ 1.98349145 -0.143417  ]
120,[ 1.99681857 -0.03721815]
121,[1.99878165 0.06979899]
122,[1.99878165 0.06979899]
123,[1.98935822 0.17641851]
124,[1.9686555  0.28142902]
125,[1.93690927 0.38363745]
126,[1.8944811  0.48188269]
127,[1.84185426 0.57504875]
128,[1.77962823 0.66207752]
129,[1.70851185 0.74198083]
130,[1.62931526 0.81385166]
131,[1.54294065 0.87687455]
132,[1.45037198 0.93033481]
133,[1.3526638  0.97362672]
134,[1.25092921 1.00626041]
135,[1.14632717 1.02786743]
136,[1.04004934 1.03820498]
137,[0.93330644 1.03715864]
138,[0.82731449 1.02474371]
139,[0.72328098 1.001105  ]
140,[0.62239106 0.9665152 ]
141,[0.52579408 0.92137178]
142,[0.43459045 0.86619243]
143,[0.34981917 0.8016092 ]
144,[0.27244593 0.72836129]
145,[0.20335212 0.6472866 ]
146,[0.14332482 0.55931222]
147,[0.09304781 0.46544383]
148,[0.05309376 0.36675427]
149,[0.02391775 0.26437134]
150,[0.00585203 0.15946487]
151,[-0.00089769  0.05323347]
152,[ 0.00374533 -0.05310914]
153,[ 0.01972805 -0.15834802]
154,[ 0.04686821 -0.26128076]
155,[ 0.08485646 -0.36073124]
156,[ 0.13325984 -0.45556302]
157,[ 0.1915267  -0.54469228]
158,[ 0.25899305 -0.62710018]
159,[ 0.33489006 -0.70184443]
160,[ 0.41835285 -0.76807009]
161,[ 0.50843035 -0.82501925]
162,[ 0.60409611 -0.8720397 ]
163,[ 0.70426003 -0.90859236]
164,[ 0.80778073 -0.9342574 ]
165,[ 0.91347861 -0.94873904]
166,[ 1.02014925 -0.95186893]
167,[ 1.12657716 -0.94360802]
168,[ 1.2315496  -0.92404709]
169,[ 1.33387042 -0.89340562]
170,[ 1.43237367 -0.85202936]
171,[ 1.5259369  -0.80038636]
172,[ 1.61349394 -0.73906164]
173,[ 1.69404707 -0.66875053]
174,[ 1.76667834 -0.59025075]
175,[ 1.83056006 -0.50445329]
176,[ 1.88496425 -0.41233234]
177,[ 1.92927087 -0.31493407]
178,[ 1.96297495 -0.21336483]
179,[ 1.98569233 -0.10877846]
180,[ 1.99716399 -0.00236319]
181,[1.99725907 0.10467191]
182,[1.99725907 0.10467191]
183,[1.9859763  0.21111073]
184,[1.96344405 0.31574393]
185,[1.92991887 0.41738275]
186,[1.88578254 0.51487255]
187,[1.83153775 0.60710595]
188,[1.76780234 0.69303548]
189,[1.69530229 0.77168546]
190,[1.61486344 0.84216318]
191,[1.52740208 0.90366903]
192,[1.4339145 0.9555056]
193,[1.33546565 0.99708567]
194,[1.23317702 1.02793888]
195,[1.12821382 1.04771705]
196,[1.02177176 1.05619822]
197,[0.91506337 1.05328912]
198,[0.80930424 1.03902627]
199,[0.70569913 1.01357552]
200,[0.60542825 0.97723022]
201,[0.50963384 0.93040782]
202,[0.41940712 0.87364515]
203,[0.33577588 0.8075923 ]
204,[0.25969277 0.7330052 ]
205,[0.19202444 0.650737  ]
206,[0.13354165 0.56172839]
207,[0.08491052 0.46699684]
208,[0.04668493 0.36762503]
209,[0.01930019 0.26474849]
210,[0.0030681  0.15954271]
211,[-0.00182661  0.0532097 ]
212,[ 0.00467164 -0.05303569]
213,[ 0.02248859 -0.1579796 ]
214,[ 0.05142105 -0.260423  ]
215,[ 0.09113917 -0.35919535]
216,[ 0.14119021 -0.45316793]
217,[ 0.20100372 -0.54126672]
218,[ 0.26989801 -0.62248462]
219,[ 0.34708793 -0.6958929 ]
220,[ 0.4316938  -0.76065185]
221,[ 0.52275148 -0.81602026]
222,[ 0.6192233  -0.86136396]
223,[ 0.72000989 -0.89616295]
224,[ 0.82396274 -0.92001739]
225,[ 0.92989726 -0.93265215]
226,[ 1.03660628 -0.93391989]
227,[ 1.14287381 -0.92380283]
228,[ 1.24748888 -0.90241285]
229,[ 1.34925934 -0.8699903 ]
230,[ 1.44702547 -0.82690123]
231,[ 1.53967316 -0.77363319]
232,[ 1.62614661 -0.71078973]
233,[ 1.70546037 -0.63908348]
234,[ 1.77671056 -0.55932806]
235,[ 1.83908519 -0.47242879]
236,[ 1.89187335 -0.37937237]
237,[ 1.93447339 -0.28121569]
238,[ 1.96639971 -0.1790737 ]
239,[ 1.98728834 -0.07410678]
240,[1.99690106 0.03249248]
241,[1.9951281  0.13951295]
242,[1.9951281  0.13951295]
243,[1.98198943 0.24573864]
244,[1.95763452 0.34996266]
245,[1.9223406  0.45100091]
246,[1.87650957 0.54770557]
247,[1.82066334 0.63897823]
248,[1.75543796 0.72378233]
249,[1.68157632 0.80115504]
250,[1.59991971 0.87021817]
251,[1.51139825 0.93018824]
252,[1.41702023 0.98038533]
253,[1.31786071 1.0202409 ]
254,[1.21504919 1.04930422]
255,[1.10975681 1.06724752]
256,[1.00318294 1.07386973]
257,[0.89654158 1.06909876]
258,[0.79104747 1.05299233]
259,[0.68790232 1.0257373 ]
260,[0.58828102 0.98764756]
261,[0.49331837 0.93916045]
262,[0.40409603 0.88083175]
263,[0.32163031 0.8133294 ]
264,[0.24686052 0.73742582]
265,[0.18063827 0.65398918]
266,[0.1237178  0.56397346]
267,[0.07674737 0.46840761]
268,[0.04026188 0.3683838 ]
269,[0.01467675 0.26504501]
270,[0.00028323 0.15957196]
271,[-0.00275496  0.05316972]
272,[ 0.00559653 -0.05294608]
273,[ 0.02524229 -0.15756306]
274,[ 0.05595823 -0.25948591]
275,[ 0.09739411 -0.35755004]
276,[ 0.14907758 -0.4506348 ]
277,[ 0.21041952 -0.53767629]
278,[ 0.28072076 -0.61767944]
279,[ 0.35918007 -0.68972939]
280,[ 0.44490326 -0.7530019 ]
281,[ 0.53691338 -0.80677271]
282,[ 0.63416186 -0.85042583]
283,[ 0.73554043 -0.88346055]
284,[ 0.83989376 -0.90549714]
285,[ 0.94603266 -0.91628115]
286,[ 1.05274755 -0.91568638]
287,[ 1.15882233 -0.90371623]
288,[ 1.26304815 -0.88050372]
289,[ 1.36423727 -0.84630998]
290,[ 1.4612365  -0.80152121]
291,[ 1.55294042 -0.74664436]
292,[ 1.63830393 -0.6823013 ]
293,[ 1.71635416 -0.60922176]
294,[ 1.78620158 -0.528235  ]
295,[ 1.8470501  -0.44026037]
296,[ 1.89820617 -0.34629685]
297,[ 1.93908665 -0.24741164]
298,[ 1.96922549 -0.14472802]
299,[ 1.98827901 -0.03941253]
300,[1.99602985 0.06733826]
301,[1.9923894  0.17431149]
302,[1.9923894  0.17431149]
303,[1.97739884 0.2802917 ]
304,[1.95122867 0.3840748 ]
305,[1.91417677 0.48448169]
306,[1.86666498 0.58037176]
307,[1.80923433 0.67065587]
308,[1.74253885 0.75430871]
309,[1.66733812 0.83038057]
310,[1.58448864 0.89800808]
311,[1.49493403 0.9564241 ]
312,[1.39969433 1.00496643]
313,[1.29985433 1.04308536]
314,[1.19655125 1.07034994]
315,[1.09096175 1.0864529 ]
316,[0.98428854 1.09121413]
317,[0.87774668 1.08458274]
318,[0.77254974 1.06663763]
319,[0.66989596 1.03758662]
320,[0.5709546  0.99776406]
321,[0.47685262 0.947627  ]
322,[0.38866185 0.88775005]
323,[0.30738677 0.81881875]
324,[0.23395306 0.74162182]
325,[0.16919707 0.65704215]
326,[0.11385626 0.56604674]
327,[0.06856084 0.4696757 ]
328,[0.03382656 0.36903036]
329,[0.01004884 0.26526078]
330,[-0.00250173  0.1595526 ]
331,[-0.00368248  0.05311354]
332,[ 0.00651971 -0.05284034]
333,[ 0.0279883  -0.15709852]
334,[ 0.06047836 -0.25846979]
335,[ 0.10361939 -0.35579582]
336,[ 0.15691954 -0.44796441]
337,[ 0.21977121 -0.53392207]
338,[ 0.291458   -0.61268611]
339,[ 0.3711628  -0.68335579]
340,[ 0.45797719 -0.74512258]
341,[ 0.55091173 -0.7972794 ]
342,[ 0.64890725 -0.83922866]
343,[ 0.75084691 -0.87048905]
344,[ 0.85556895 -0.89070106]
345,[ 0.96187988 -0.89963105]
346,[ 1.06856815 -0.89717394]
347,[ 1.17441786 -0.88335435]
348,[ 1.27822269 -0.85832639]
349,[ 1.37879963 -0.82237186]
350,[ 1.47500242 -0.77589704]
351,[ 1.56573464 -0.71942809]
352,[ 1.64996221 -0.65360504]
353,[ 1.72672514 -0.57917446]
354,[ 1.79514851 -0.49698103]
355,[ 1.85445239 -0.40795785]
356,[ 1.90396077 -0.31311584]
357,[ 1.94310924 -0.21353223]
358,[ 1.97145142 -0.11033825]
359,[ 1.98866403 -0.00470628]
360,[1.99455063 0.10216353]
361,[1.98904379 0.20905693]
362,[1.98904379 0.20905693]
363,[1.97220591 0.31475938]
364,[1.94422846 0.41806994]
365,[1.90542986 0.51781489]
366,[1.8562518  0.61286117]
367,[1.79725422 0.70212921]
368,[1.72910895 0.78460532]
369,[1.65259204 0.85935316]
370,[1.56857491 0.92552445]
371,[1.47801444 0.98236863]
372,[1.38194207 1.0292414 ]
373,[1.28145201 1.06561208]
374,[1.17768883 1.09106962]
375,[1.07183437 1.10532734]
376,[0.96509431 1.10822614]
377,[0.85868442 1.09973634]
378,[0.75381669 1.07995803]
379,[0.65168555 1.04911989]
380,[0.55345426 1.00757662]
381,[0.46024162 0.9558049 ]
382,[0.37310928 0.89439792]
383,[0.2930496  0.82405868]
384,[0.22097435 0.74559191]
385,[0.15770433 0.65989497]
386,[0.10396004 0.5679476 ]
387,[0.06035343 0.47080072]
388,[0.02738094 0.36956451]
389,[0.00541787 0.26539576]
390,[-0.00528593  0.15948464]
391,[-0.00460888  0.05304118]
392,[ 0.00744091 -0.05271851]
393,[ 0.03072579 -0.15658613]
394,[ 0.06498007 -0.25737493]
395,[ 0.1098131  -0.35393323]
396,[ 0.16471369 -0.44515756]
397,[ 0.22905596 -0.53000521]
398,[ 0.30210645 -0.60750615]
399,[ 0.38303247 -0.67677403]
400,[ 0.47091162 -0.73701629]
401,[ 0.56474227 -0.78754324]
402,[ 0.66345498 -0.82777584]
403,[ 0.76592468 -0.85725238]
404,[ 0.87098352 -0.87563366]
405,[ 0.97743411 -0.88270692]
406,[ 1.08406324 -0.87838821]
407,[ 1.18965565 -0.86272339]
408,[ 1.29300788 -0.8358876 ]
409,[ 1.392942   -0.79818323]
410,[ 1.48831904 -0.75003653]
411,[ 1.57805192 -0.69199268]
412,[ 1.66111789 -0.62470968]
413,[ 1.73657014 -0.54895074]
414,[ 1.80354861 -0.46557567]
415,[ 1.8612898  -0.37553106]
416,[ 1.90913542 -0.27983946]
417,[ 1.94653995 -0.17958777]
418,[ 1.97307682 -0.07591487]
419,[1.98844328 0.03000141]
420,[1.99246385 0.13695768]
421,[1.9850923  0.24373869]
422,[1.9850923  0.24373869]
423,[1.96641222 0.34913118]
424,[1.93663602 0.45193773]
425,[1.89610254 0.55099036]
426,[1.84527318 0.64516389]
427,[1.78472664 0.73338869]
428,[1.71515235 0.81466293]
429,[1.63734256 0.88806398]
430,[1.55218338 0.9527589 ]
431,[1.46064464 1.00801392]
432,[1.36376885 1.05320286]
433,[1.26265934 1.0878142 ]
434,[1.15846767 1.11145695]
435,[1.0523805  1.12386508]
436,[0.94560611 1.12490057]
437,[0.83936059 1.11455496]
438,[0.73485401 1.09294946]
439,[0.63327663 1.06033359]
440,[0.53578533 1.01708227]
441,[0.44349043 0.96369165]
442,[0.35744306 0.90077336]
443,[0.27862316 0.82904759]
444,[0.20792832 0.74933489]
445,[0.14616356 0.66254679]
446,[0.09403216 0.56967545]
447,[0.05212763 0.47178232]
448,[0.02092698 0.36998609]
449,[0.00078525 0.26544989]
450,[-0.00806851  0.15936809]
451,[-0.00553388  0.05295267]
452,[ 0.00835984 -0.05258062]
453,[ 0.03345391 -0.15602604]
454,[ 0.06946198 -0.25620167]
455,[ 0.11597336 -0.35196282]
456,[ 0.17245768 -0.44221511]
457,[ 0.23827095 -0.52592691]
458,[ 0.31266288 -0.60214114]
459,[ 0.39478547 -0.66998611]
460,[ 0.48370261 -0.7286855 ]
461,[ 0.57840078 -0.77756718]
462,[ 0.67780061 -0.81607088]
463,[ 0.78076915 -0.84375459]
464,[ 0.88613278 -0.86029954]
465,[ 0.9926906 -0.8655139]
466,[ 1.09922812 -0.85933491]
467,[ 1.20453106 -0.84182964]
468,[ 1.3073992  -0.81319419]
469,[ 1.40666007 -0.77375148]
470,[ 1.5011823  -0.72394754]
471,[ 1.58988851 -0.66434649]
472,[ 1.67176758 -0.59562403]
473,[ 1.74588616 -0.5185598 ]
474,[ 1.81139934 -0.4340285 ]
475,[ 1.86756023 -0.34298988]
476,[ 1.91372852 -0.24647783]
477,[ 1.94937772 -0.14558862]
478,[ 1.97410121 -0.04146837]
